route_id,service_id,trip_id,trip_headsign,"trip_short_name",direction_id,block_id,shape_id
"213_329","everyday","1227",,,,,"213_329"
"213_329","4","1228",,,,,"213_329"
"213_329","4","1229",,,,,"213_329"
"213_330","4","2956",,,,,"213_330"
"213_330","everyday","2957",,,,,"213_330"
"213_330","everyday","2958",,,,,"213_330"
"213_330","everyday","2959",,,,,"213_330"
"213_330","everyday","2960",,,,,"213_330"
"213_330","everyday","2961",,,,,"213_330"
"213_330","everyday","2962",,,,,"213_330"
"213_330","everyday","2963",,,,,"213_330"
"213_569","4","3907",,,,,"213_569"
"613_1302","everyday","5731",,,,,"613_1302"
"613_1301","everyday","5730",,,,,"613_1301"
"612_1300","everyday","5729",,,,,"612_1300"
"612_1299","everyday","5728",,,,,"612_1299"
"614_1303","everyday","5732",,,,,"614_1303"
"168_267","everyday","5725",,,,,"168_267"
"168_268","everyday","5726",,,,,"168_268"
"168_268","everyday","5727",,,,,"168_268"
"269_423","56","5733",,,,,"269_423"
"269_423","56","5734",,,,,"269_423"
"269_423","56","5735",,,,,"269_423"
"269_423","56","5736",,,,,"269_423"
"269_424","56","5737",,,,,"269_424"
"269_424","56","5738",,,,,"269_424"
"269_424","56","5739",,,,,"269_424"
"269_424","56","5740",,,,,"269_424"
"254_395","everyday","6370",,,,,"254_395"
"254_395","everyday","6371",,,,,"254_395"
"254_395","everyday","6372",,,,,"254_395"
"254_396","everyday","6373",,,,,"254_396"
"254_396","everyday","6374",,,,,"254_396"
"254_396","everyday","6375",,,,,"254_396"
"529_998","56","2748",,,,,"529_998"
"529_998","56","2749",,,,,"529_998"
"350_611","61","2747",,,,,"350_611"
"349_610","61","2734",,,,,"349_610"
"349_610","56","2735",,,,,"349_610"
"530_999","56","2751",,,,,"530_999"
"527_996","56","2738",,,,,"527_996"
"531_1000","56","2743",,,,,"531_1000"
"528_997","56","2744",,,,,"528_997"
"354_617","everyday","2263",,,,,"354_617"
"354_617","everyday","2264",,,,,"354_617"
"354_617","62","2265",,,,,"354_617"
"354_617","everyday","2266",,,,,"354_617"
"354_617","109","2267",,,,,"354_617"
"354_617","everyday","2268",,,,,"354_617"
"354_618","62","2269",,,,,"354_618"
"354_618","everyday","2270",,,,,"354_618"
"354_618","everyday","2271",,,,,"354_618"
"354_618","62","2272",,,,,"354_618"
